match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes,hub_dependence,cohesion_optimized
122838,FC Bayern München,SV Werder Bremen,4,0,win,3,0.5927295584403085,0.3629238246292135,1.0,0.6145992366412214,0.3933951724907989,16,142,0.5916666666666667,0.2747392290249433,Sven Ulreich,41,716,0.3854007633587786,0.5286115440675034
122838,SV Werder Bremen,FC Bayern München,0,4,loss,0,0.4627553262509287,0.2839714965745964,0.7327586206896551,0.6810344827586207,0.1532567049808429,16,87,0.3625,0.2013492063492063,Marvin Ducksch,5,284,0.31896551724137934,0.38834590154400317
122839,RasenBallsport Leipzig,Bayer 04 Leverkusen,2,3,loss,0,0.5045458661846522,0.3395156549602309,0.840040241448692,0.6037474849094567,0.2348800834202294,16,137,0.5708333333333333,0.2170294784580498,Dani Olmo,14,599,0.39625251509054327,0.46269377344789286
122839,Bayer 04 Leverkusen,RasenBallsport Leipzig,3,2,win,3,0.5289725049882963,0.3094305843270828,1.0,0.6213403880070547,0.1851190476190476,15,105,0.5,0.228021978021978,Robert Andrich,13,474,0.3786596119929453,0.480026138724388
122840,1. FC Heidenheim 1846,VfL Wolfsburg,0,2,loss,0,0.4707506790833464,0.3149649278593996,0.7474874371859297,0.625,0.1955503512880562,16,122,0.5083333333333333,0.2786507936507937,Tim Kleindienst,11,535,0.375,0.42015935835498786
122840,VfL Wolfsburg,1. FC Heidenheim 1846,2,0,win,3,0.5695369125812042,0.280607594595106,1.0,0.5827020202020202,0.4148380355276907,16,116,0.4833333333333333,0.1536167800453514,Tiago Tomás,23,510,0.4172979797979798,0.494382297820019
122841,TSG 1899 Hoffenheim,SC Freiburg,1,1,draw,1,0.5774886502807592,0.3968636999173816,0.9153005464480874,0.692896174863388,0.3048941798941799,15,117,0.5571428571428572,0.2134615384615384,Angelo Stiller,22,491,0.30710382513661205,0.5038119783306224
122841,SC Freiburg,TSG 1899 Hoffenheim,1,1,draw,1,0.6023931887908184,0.2978898519134781,1.0,0.6261553588987216,0.4855275443510737,15,102,0.4857142857142857,0.2260989010989011,Ritsu Doan,23,469,0.37384464110127835,0.5035743765570382
122842,VfL Bochum,VfB Stuttgart,0,5,loss,0,0.4847942069499202,0.2798424531941024,0.9892086330935252,0.560476618705036,0.1096491228070175,16,95,0.3958333333333333,0.2828571428571429,Takuma Asano,4,405,0.43952338129496404,0.46411680434537883
122842,VfB Stuttgart,VfL Bochum,5,0,win,3,0.5424750501149669,0.3349351965095697,1.0,0.6256127450980392,0.2093522588522588,16,125,0.5208333333333334,0.2750207860922147,Waldemar Anton,24,603,0.3743872549019608,0.49456091237530486
122843,Borussia Mönchengladbach,FC Augsburg,4,4,draw,1,0.5299413724376645,0.3137108416361189,1.0,0.671551724137931,0.1345029239766082,16,114,0.475,0.2006122448979592,Grant-Leon Ranos,12,408,0.32844827586206904,0.4695729545950307
122843,FC Augsburg,Borussia Mönchengladbach,4,4,draw,1,0.6927708980562537,0.3671804600113805,1.0,0.6466079582517938,0.7572951739618407,14,108,0.5934065934065934,0.2403846153846153,Rubén Vargas,33,534,0.35339204174820615,0.5623285536641053
122844,Borussia Dortmund,1. FC Köln,1,0,win,3,0.4607628972582852,0.2927986153445972,1.0,0.4964660743134087,0.0537868993751346,16,130,0.5416666666666666,0.2089141810570382,Donyell Malen,11,746,0.5035339256865913,0.4773080864628007
122844,1. FC Köln,Borussia Dortmund,0,1,loss,0,0.6244456095996023,0.3293204799566839,1.0,0.7292096219931272,0.439252336448598,15,107,0.5095238095238095,0.2137820512820513,Leart Paçarada,20,403,0.2707903780068728,0.49920403032423266
122845,1. FC Union Berlin,1. FSV Mainz 05,4,1,win,3,0.5112321648641075,0.2747209260134024,0.9688581314878892,0.6046712802768166,0.1966783216783216,16,104,0.4333333333333333,0.1856349206349206,Alex Král,11,419,0.3953287197231834,0.45854213600498317
122845,1. FSV Mainz 05,1. FC Union Berlin,1,4,loss,0,0.5051594763509661,0.2484112980559885,1.0,0.5979477611940298,0.1742788461538461,16,104,0.4333333333333333,0.2690476190476191,Ludovic Ajorque,8,478,0.4020522388059702,0.4519413694642743
122846,Eintracht Frankfurt,SV Darmstadt 98,1,0,win,3,0.4804595000813053,0.2849880258927083,1.0,0.562137330754352,0.0747126436781609,16,116,0.4833333333333333,0.2495464852607709,Jesper Lindstrøm,8,617,0.437862669245648,0.46564467770101736
122846,SV Darmstadt 98,Eintracht Frankfurt,0,1,loss,0,0.5768668569592438,0.301113327056878,1.0,0.6076612903225806,0.3986928104575163,16,102,0.425,0.2482426303854875,Mathias Honsak,13,411,0.39233870967741935,0.4992767510258035
122847,VfB Stuttgart,RasenBallsport Leipzig,1,5,loss,0,0.5416621902039527,0.2985034222054326,0.9894459102902374,0.6141160949868074,0.2645833333333333,16,120,0.5,0.2155045351473923,Borna Sosa,11,479,0.3858839050131926,0.48095410776058783
122847,RasenBallsport Leipzig,VfB Stuttgart,5,1,win,3,0.5643882050143665,0.3264627521533739,1.0,0.6072154471544715,0.3238746207496207,16,120,0.5,0.2740476190476191,Kevin Kampl,21,587,0.3927845528455285,0.5045365210784782
122848,SC Freiburg,SV Werder Bremen,1,0,win,3,0.5996029710520586,0.3798304564744321,1.0,0.680386983289358,0.3381944444444444,15,120,0.5714285714285714,0.142032967032967,Maximilian Philipp,20,525,0.319613016710642,0.5216766251882567
122848,SV Werder Bremen,SC Freiburg,0,1,loss,0,0.5869907121221243,0.313668484034853,1.0,0.6888273314866112,0.3454670329670329,15,104,0.4952380952380952,0.2373626373626373,Amos Pieper,22,518,0.31117266851338876,0.48805684559113804
122849,1. FC Köln,VfL Wolfsburg,1,2,loss,0,0.5614686653859566,0.2921045466012979,1.0,0.619,0.3347701149425287,16,116,0.4833333333333333,0.215328798185941,Benno Schmitz,19,522,0.381,0.4866792847949018
122849,VfL Wolfsburg,1. FC Köln,2,1,win,3,0.5539196114703825,0.2864673866949749,1.0,0.6073298429319371,0.3218812162546178,16,115,0.4791666666666667,0.1857709750566893,Jonas Wind,18,524,0.39267015706806285,0.48432233853315865
122850,VfL Bochum,Borussia Dortmund,1,1,draw,1,0.6477415706016586,0.301054899441415,1.0,0.7049278846153846,0.584983498349835,16,101,0.4208333333333333,0.1589002267573696,Ivan Ordets,25,341,0.2950721153846154,0.5032866168633834
122850,Borussia Dortmund,VfL Bochum,1,1,draw,1,0.5671808361145654,0.3497470356793213,1.0,0.6460825358851674,0.2728937728937729,16,130,0.5416666666666666,0.1889455782312925,Salih Özcan,21,569,0.3539174641148326,0.5052505147462628
122851,1. FC Heidenheim 1846,TSG 1899 Hoffenheim,2,3,loss,0,0.5852609970063629,0.3175391771364955,1.0,0.6886109282422647,0.3348938826466915,14,89,0.489010989010989,0.1409188034188034,Niklas Beste,15,341,0.31138907175773534,0.4889673375965772
122851,TSG 1899 Hoffenheim,1. FC Heidenheim 1846,3,2,win,3,0.5169837258759011,0.3708799690896474,0.7834928229665072,0.7453648325358851,0.1681972789115646,16,140,0.5833333333333334,0.1938435374149659,Wout Weghorst,14,557,0.25463516746411485,0.43632819329722417
122852,SV Darmstadt 98,1. FC Union Berlin,1,4,loss,0,0.5887856454896774,0.3251062741317025,1.0,0.5421385017421603,0.4878978060848465,16,128,0.5333333333333333,0.245,Bartol Franjic,32,701,0.4578614982578397,0.5300221424130118
122852,1. FC Union Berlin,SV Darmstadt 98,4,1,win,3,0.5091194486771565,0.2742483574791887,0.7954545454545454,0.6521915584415585,0.3145833333333333,16,80,0.3333333333333333,0.2217460317460317,Alex Král,11,304,0.3478084415584415,0.41961741467033026
122853,Borussia Mönchengladbach,Bayer 04 Leverkusen,0,3,loss,0,0.563890119165039,0.3628077855842943,1.0,0.6650914634146341,0.2276612276612276,16,132,0.55,0.2049999999999999,Joe Scally,21,523,0.3349085365853659,0.5044062960460748
122853,Bayer 04 Leverkusen,Borussia Mönchengladbach,3,0,win,3,0.5426317080129545,0.3564662465074329,1.0,0.5941642120765832,0.219896373467802,16,140,0.5833333333333334,0.1481557067271353,Florian Wirtz,39,760,0.4058357879234168,0.5110981287890092
122854,Eintracht Frankfurt,1. FSV Mainz 05,1,1,draw,1,0.4482856379647231,0.2776191952199258,0.7619647355163728,0.5639168765743072,0.1896417445482866,16,107,0.4458333333333333,0.2916666666666667,Kevin Trapp,9,566,0.4360831234256928,0.41367742445773864
122854,1. FSV Mainz 05,Eintracht Frankfurt,1,1,draw,1,0.5517942997193392,0.3270125412952466,0.8449074074074074,0.7042824074074074,0.3309748427672956,16,106,0.4416666666666666,0.2402456538170823,Dominik Kohr,15,359,0.29571759259259256,0.4521882456650936
122855,FC Bayern München,FC Augsburg,2,1,win,3,0.5783101201122357,0.331093813301846,1.0,0.606904973357016,0.3752416937900809,16,124,0.5166666666666667,0.2027777777777777,Harry Kane,30,654,0.393095026642984,0.5120353300263787
122855,FC Augsburg,FC Bayern München,1,2,loss,0,0.4857071216088785,0.2542470741408664,0.7573529411764706,0.5483455882352941,0.3828828828828828,16,111,0.4625,0.1425321239606954,Finn Dahmen,12,448,0.4516544117647059,0.42249822241754503
122856,1. FC Heidenheim 1846,Borussia Dortmund,2,2,draw,1,0.5309853277936296,0.2891680572850779,1.0,0.6830188679245284,0.1517543859649122,15,95,0.4523809523809524,0.2427655677655678,Norman Theuerkauf,10,354,0.3169811320754716,0.4573066370503509
122856,Borussia Dortmund,1. FC Heidenheim 1846,2,2,draw,1,0.5643240296771017,0.3661587629906173,1.0,0.6337386018237082,0.257398753894081,14,107,0.5879120879120879,0.2471153846153846,Karim Adeyemi,22,533,0.3662613981762918,0.5137584666111605
122857,SV Darmstadt 98,Bayer 04 Leverkusen,1,5,loss,0,0.5167823564135208,0.2878605427368388,0.8705357142857142,0.6579241071428572,0.2508090614886731,16,103,0.4291666666666666,0.2171919879062736,Fabian Holland,10,336,0.3420758928571428,0.4379564900172867
122857,Bayer 04 Leverkusen,SV Darmstadt 98,5,1,win,3,0.5608015572495599,0.3742947482932233,0.9664429530201342,0.6404362416107383,0.2620322860741441,16,149,0.6208333333333333,0.2054761904761904,Josip Stanisic,40,824,0.3595637583892617,0.5088959047674488
122858,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1,win,3,0.5348958855931378,0.3751759560613594,0.8396226415094339,0.7188679245283018,0.2059170202734559,14,101,0.554945054945055,0.1699786324786324,Oliver Baumann,12,388,0.28113207547169816,0.4602551517561385
122858,VfL Wolfsburg,TSG 1899 Hoffenheim,1,3,loss,0,0.5507772238213259,0.3269911742427706,1.0,0.6335470085470085,0.2425707124955245,16,133,0.5541666666666667,0.1614739229024943,Amin Sarr,16,588,0.3664529914529915,0.4927206070888865
122859,1. FSV Mainz 05,SV Werder Bremen,0,4,loss,0,0.529040051178617,0.3717921823859194,0.891812865497076,0.7092470760233918,0.1433080808080808,16,132,0.55,0.2248110355253212,Leandro Barreiro,12,520,0.29075292397660824,0.466793054244528
122859,SV Werder Bremen,1. FSV Mainz 05,4,0,win,3,0.6011363723377363,0.2708484928845142,1.0,0.6424469964664311,0.4912499999999999,16,100,0.4166666666666667,0.3166439909297052,Marco Friedl,17,450,0.3575530035335689,0.48818219697229237
122860,FC Augsburg,VfL Bochum,2,2,draw,1,0.6186936252238321,0.3112211771267966,0.9878048780487804,0.680650406504065,0.4950980392156862,15,85,0.4047619047619047,0.2745421245421245,Maximilian Bauer,14,367,0.31934959349593495,0.49997405102155223
122860,VfL Bochum,FC Augsburg,2,2,draw,1,0.5348521288400346,0.3055522899692593,0.9864864864864864,0.598018018018018,0.2493517208863743,15,101,0.4809523809523809,0.2639194139194139,Maximilian Wittek,15,541,0.401981981981982,0.48463023599218596
122861,SC Freiburg,VfB Stuttgart,0,5,loss,0,0.5109690246776645,0.3405132318247731,0.8245798319327731,0.6360294117647058,0.2427536231884057,16,138,0.575,0.1882019964162821,Maximilian Philipp,15,585,0.36397058823529416,0.45527252444971456
122861,VfB Stuttgart,SC Freiburg,5,0,win,3,0.5441228912254649,0.3191305119762901,1.0,0.5933441558441559,0.2640168970814132,16,124,0.5166666666666667,0.2203703703703704,Enzo Millot,23,549,0.4066558441558441,0.496965322319663
122862,FC Bayern München,Borussia Mönchengladbach,2,1,win,3,0.5622783383291162,0.3321045439834367,1.0,0.5915625,0.3254463093330281,16,128,0.5333333333333333,0.2613718820861678,Harry Kane,27,729,0.4084375,0.5098625279250212
122862,Borussia Mönchengladbach,FC Bayern München,1,2,loss,0,0.5502145110003475,0.2531371153521525,1.0,0.6514246323529411,0.2962962962962963,16,99,0.4125,0.1665873015873015,Florian Neuhaus,11,403,0.3485753676470589,0.4584844924527647
