match_id,team_name,player_name,impact,impact_pct,passes_made,betweenness,baseline_cohesion
122838,SV Werder Bremen,Amos Pieper,0.005195091419773479,0.5195091419773479,10,0.07755102040816327,0.5586547784433005
122838,SV Werder Bremen,Christian Groß,-0.028280741970506007,-2.8280741970506007,5,0.02658730158730159,0.5586547784433005
122838,SV Werder Bremen,Jiri Pavlenka,-0.00515215329907126,-0.515215329907126,25,0.026904761904761904,0.5586547784433005
122838,SV Werder Bremen,Leonardo Bittencourt,0.00444809263681456,0.444809263681456,11,0.053571428571428575,0.5586547784433005
122838,SV Werder Bremen,Milos Veljkovic,0.03417990631682921,3.417990631682921,20,0.07854875283446715,0.5586547784433005
122838,SV Werder Bremen,Mitchell Weiser,-0.005460905624830925,-0.5460905624830925,6,0.06907029478458052,0.5586547784433005
122838,SV Werder Bremen,Oliver Burke,-0.01618129266574142,-1.618129266574142,6,0.0,0.5586547784433005
122838,SV Werder Bremen,Anthony Jung,-0.0016929197584159006,-0.16929197584159006,14,0.07301587301587302,0.5586547784433005
122838,SV Werder Bremen,Marco Friedl,0.0162854979884407,1.62854979884407,19,0.007823129251700681,0.5586547784433005
122838,SV Werder Bremen,Marvin Ducksch,0.027654154739648162,2.7654154739648162,11,0.21484126984126986,0.5586547784433005
122838,SV Werder Bremen,Niclas Füllkrug,0.0172960370730022,1.7296037073002202,12,0.0815532879818594,0.5586547784433005
122838,SV Werder Bremen,Senne Lynen,-0.01326979906972059,-1.326979906972059,10,0.03325396825396825,0.5586547784433005
122838,SV Werder Bremen,Jens Stage,0.018698731922245138,1.8698731922245138,14,0.16343537414965986,0.5586547784433005
122838,SV Werder Bremen,Romano Schmid,-0.008753603416746247,-0.8753603416746247,4,0.19714285714285715,0.5586547784433005
122838,SV Werder Bremen,Dawid Kownacki,-0.050649223628825846,-5.064922362882585,1,0.0,0.5586547784433005
122838,SV Werder Bremen,Leon Opitz,-0.03217702441590409,-3.2177024415904087,1,0.00873015873015873,0.5586547784433005
122838,FC Bayern München,Alphonso Davies,0.006513058600491672,0.6513058600491672,68,0.10218253968253971,0.6699123801824293
122838,FC Bayern München,Dayot Upamecano,-0.011936940762994896,-1.1936940762994896,75,0.08503968253968255,0.6699123801824293
122838,FC Bayern München,Eric-Maxim Choupo-Moting,-0.010733446850673012,-1.0733446850673012,6,0.0800170068027211,0.6699123801824293
122838,FC Bayern München,Harry Kane,0.000822382834343327,0.0822382834343327,17,0.024807256235827663,0.6699123801824293
122838,FC Bayern München,Jamal Musiala,-0.009563351206814397,-0.9563351206814397,18,0.09429705215419501,0.6699123801824293
122838,FC Bayern München,Joshua Kimmich,0.002482646459235016,0.24826464592350161,102,0.005873015873015874,0.6699123801824293
122838,FC Bayern München,Kingsley Coman,0.0031389396332290875,0.31389396332290875,40,0.0005952380952380953,0.6699123801824293
122838,FC Bayern München,Konrad Laimer,-0.005966916976939074,-0.5966916976939074,8,0.01718820861678005,0.6699123801824293
122838,FC Bayern München,Leon Goretzka,0.006697935685012646,0.6697935685012646,63,0.0011904761904761906,0.6699123801824293
122838,FC Bayern München,Leroy Sané,0.0009536799635092574,0.09536799635092574,33,0.08650793650793652,0.6699123801824293
122838,FC Bayern München,Mathys Tel,-0.012546528093098419,-1.254652809309842,7,0.12218820861678004,0.6699123801824293
122838,FC Bayern München,Matthijs de Ligt,-0.005915819748551598,-0.5915819748551598,14,0.039047619047619046,0.6699123801824293
122838,FC Bayern München,Min-jae Kim,0.009886412733030703,0.9886412733030703,66,0.0,0.6699123801824293
122838,FC Bayern München,Noussair Mazraoui,-0.0006648980141543692,-0.06648980141543692,63,0.19577097505668933,0.6699123801824293
122838,FC Bayern München,Sven Ulreich,2.17802381385912e-06,0.00021780238138591201,26,0.2542460317460318,0.6699123801824293
122838,FC Bayern München,Thomas Müller,-0.0010616760653340274,-0.10616760653340274,9,0.061825396825396825,0.6699123801824293
122839,Bayer 04 Leverkusen,Adam Hlozek,-0.00010964524514156526,-0.010964524514156526,1,0.0,0.6604901382257465
122839,Bayer 04 Leverkusen,Arthur,-0.0027621943961712025,-0.27621943961712025,5,0.1965332286760858,0.6604901382257465
122839,Bayer 04 Leverkusen,Alejandro Grimaldo,0.0060325685070526935,0.6032568507052694,26,0.10429094714809001,0.6604901382257465
122839,Bayer 04 Leverkusen,Edmond Tapsoba,0.014585060991064713,1.4585060991064713,52,0.022435897435897436,0.6604901382257465
122839,Bayer 04 Leverkusen,Exequiel Palacios,0.05130045892868618,5.130045892868617,54,0.02564102564102564,0.6604901382257465
122839,Bayer 04 Leverkusen,Florian Wirtz,0.013352186795075993,1.3352186795075993,24,0.05024856096284668,0.6604901382257465
122839,Bayer 04 Leverkusen,Granit Xhaka,0.02748787272514197,2.748787272514197,36,0.0944793301936159,0.6604901382257465
122839,Bayer 04 Leverkusen,Jeremie Frimpong,-0.0020430586693571673,-0.20430586693571673,22,0.024228152799581376,0.6604901382257465
122839,Bayer 04 Leverkusen,Jonas Hofmann,0.0205933625877025,2.05933625877025,30,0.18529565672422815,0.6604901382257465
122839,Bayer 04 Leverkusen,Lukas Hradecky,-0.005302624085225416,-0.5302624085225416,13,0.09300104657247515,0.6604901382257465
122839,Bayer 04 Leverkusen,Robert Andrich,-0.019388231093626418,-1.9388231093626418,4,0.20939298796441655,0.6604901382257465
122839,Bayer 04 Leverkusen,Jonathan Tah,0.011416866658636948,1.1416866658636948,45,0.06919152276295133,0.6604901382257465
