team_name,player_name,avg_impact,avg_impact_pct,avg_passes,avg_betweenness,matches_played
1. FC Heidenheim 1846,Lennard Maloney,0.008789070991121797,0.8789070991121798,24.0,0.0951331232071028,28
1. FC Heidenheim 1846,Omar Traoré,0.008383285672591521,0.8383285672591522,26.516129032258064,0.07530536134798808,31
1. FC Heidenheim 1846,Tim Kleindienst,0.008217945578555916,0.8217945578555916,14.666666666666666,0.1214834808449527,33
1. FC Heidenheim 1846,Jonas Föhrenbach,0.008133589921520282,0.8133589921520282,29.87878787878788,0.05291291480685421,33
1. FC Heidenheim 1846,Patrick Mainka,0.006327664342606931,0.632766434260693,36.85294117647059,0.0654171728909124,34
1. FC Heidenheim 1846,Jan Schöppner,0.0036488023095833486,0.36488023095833483,16.807692307692307,0.09634903075150328,26
1. FC Heidenheim 1846,Niklas Beste,0.0035492869988881666,0.35492869988881665,15.67741935483871,0.09566792121515624,31
1. FC Heidenheim 1846,Tim Siersleben,-0.00019640812456813336,-0.019640812456813334,36.083333333333336,0.05359010147700624,12
1. FC Heidenheim 1846,Benedikt Gimber,-0.00048710314779626396,-0.048710314779626396,28.833333333333332,0.03651239991269753,24
1. FC Heidenheim 1846,Eren Dinkçi,-0.0028692869113164762,-0.2869286911316476,13.848484848484848,0.07285955006193102,33
1. FC Heidenheim 1846,Marvin Pieringer,-0.004114619795840183,-0.41146197958401826,9.258064516129032,0.06735064091054875,31
1. FC Heidenheim 1846,Kevin Müller,-0.0069627664161007186,-0.6962766416100719,25.705882352941178,0.04185950895509719,34
1. FC Heidenheim 1846,Norman Theuerkauf,-0.007645208539131785,-0.7645208539131784,17.36,0.058723518280661136,25
1. FC Heidenheim 1846,Adrian Beck,-0.008215416479823393,-0.8215416479823393,13.565217391304348,0.06425593385220715,23
1. FC Heidenheim 1846,Nikola Dovedan,-0.008253271408399343,-0.8253271408399343,6.15,0.06180010597867741,20
1. FC Heidenheim 1846,Marnon Busch,-0.010316679045791907,-1.0316679045791908,17.0625,0.051172311071864644,16
1. FC Heidenheim 1846,Kevin Sessa,-0.012562869896600489,-1.2562869896600488,10.551724137931034,0.07934715257375356,29
1. FC Heidenheim 1846,Denis Thomalla,-0.012993567606286123,-1.2993567606286123,7.444444444444445,0.04361869611869612,18
1. FC Heidenheim 1846,Florian Pick,-0.013682792089144998,-1.3682792089144997,6.294117647058823,0.04717221737179721,17
1. FC Heidenheim 1846,Stefan Schimmer,-0.015396030189032085,-1.5396030189032086,1.2307692307692308,0.014768423477214687,13
1. FC Köln,Dejan Ljubicic,0.012983210757793765,1.2983210757793766,24.923076923076923,0.08673640487514113,26
1. FC Köln,Eric Martel,0.010714209923160562,1.0714209923160563,29.966666666666665,0.09751918011441821,30
1. FC Köln,Timo Hübers,0.0079285491414545,0.79285491414545,47.516129032258064,0.0767823069147954,31
1. FC Köln,Max Finkgräfe,0.006062677784585936,0.6062677784585936,24.041666666666668,0.08104640371753467,24
1. FC Köln,Florian Kainz,0.005071884783469626,0.5071884783469626,21.939393939393938,0.07096688404588838,33
1. FC Köln,Rasmus Carstensen,0.003478645580652951,0.34786455806529504,25.304347826086957,0.0901042361135529,23
1. FC Köln,Leart Paçarada,0.00337945927261718,0.33794592726171807,26.176470588235293,0.0885974646268764,17
1. FC Köln,Denis Huseinbasic,0.0022897867967039197,0.22897867967039195,25.46153846153846,0.07595819702275747,26
1. FC Köln,Jeff Chabot,0.0019097802616989089,0.1909780261698909,40.09375,0.05060909638476603,32
1. FC Köln,Luca Kilian,-0.0016482292849080333,-0.16482292849080335,19.666666666666668,0.04468709421090374,12
1. FC Köln,Jan Thielmann,-0.0032676049863198386,-0.32676049863198386,16.523809523809526,0.10191749482565808,21
1. FC Köln,Benno Schmitz,-0.003685734327918905,-0.3685734327918905,22.40909090909091,0.06190038166499206,22
1. FC Köln,Luca Waldschmidt,-0.004031517647862481,-0.4031517647862481,13.954545454545455,0.09319423541826138,22
1. FC Köln,Marvin Schwäbe,-0.004807616066428694,-0.48076160664286943,25.205882352941178,0.046470819874181224,34
1. FC Köln,Linton Maina,-0.005042321403820029,-0.504232140382003,15.064516129032258,0.08150438463226482,31
1. FC Köln,Mark Uth,-0.0059409593203606096,-0.5940959320360609,9.727272727272727,0.04974575328471433,11
1. FC Köln,Dominique Heintz,-0.006839827855156559,-0.6839827855156558,27.083333333333332,0.020113968923492733,12
1. FC Köln,Sargis Adamyan,-0.008804547158965368,-0.8804547158965368,6.944444444444445,0.04586029711029712,18
1. FC Köln,Davie Selke,-0.00950037667045707,-0.9500376670457069,7.421052631578948,0.08646255999639459,19
1. FC Köln,Faride Alidou,-0.010254877176536111,-1.025487717653611,7.346153846153846,0.06458465603383187,26
1. FC Köln,Steffen Tigges,-0.011731795697562003,-1.1731795697562002,4.56,0.0561668093810951,25
1. FC Köln,Justin Diehl,-0.013156398217662044,-1.3156398217662044,5.142857142857143,0.07910190338761768,7
1. FC Köln,Damion Downs,-0.01735715802359304,-1.7357158023593042,2.6666666666666665,0.03326695203679331,9
1. FC Köln,Mathias Olesen,-0.020740473611359334,-2.0740473611359334,7.0,0.04620472120472121,6
1. FC Köln,Jacob Christensen,-0.021360241138125808,-2.136024113812581,10.5,0.0746018509708986,6
1. FC Union Berlin,Diogo Leite,0.01356982133910092,1.356982133910092,38.1875,0.09248914118162059,32
1. FC Union Berlin,Danilho Doekhi,0.010312133990022121,1.031213399002212,30.208333333333332,0.05643658645146741,24
1. FC Union Berlin,Lucas Tousart,0.00935978694171544,0.935978694171544,17.391304347826086,0.10574378082500395,23
