match_id,team_name,opponent,goals_for,goals_against,result,points,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,n_players,n_connections,density,max_betweenness,top_betweenness_player,pre_shot_passes,total_passes
122838,FC Bayern München,SV Werder Bremen,4,0,win,3,0.5927295584403085,0.3629238246292135,1.0,0.6145992366412214,0.3933951724907989,16,142,0.5916666666666667,0.27473922902494335,Sven Ulreich,41,716
122838,SV Werder Bremen,FC Bayern München,0,4,loss,0,0.46275532625092874,0.28397149657459647,0.7327586206896551,0.6810344827586207,0.1532567049808429,16,87,0.3625,0.20134920634920636,Marvin Ducksch,5,284
122839,RasenBallsport Leipzig,Bayer 04 Leverkusen,2,3,loss,0,0.5045458661846522,0.33951565496023095,0.840040241448692,0.6037474849094567,0.23488008342022942,16,137,0.5708333333333333,0.21702947845804987,Dani Olmo,14,599
122839,Bayer 04 Leverkusen,RasenBallsport Leipzig,3,2,win,3,0.5289725049882963,0.3094305843270828,1.0,0.6213403880070547,0.1851190476190476,15,105,0.5,0.22802197802197807,Robert Andrich,13,474
122840,1. FC Heidenheim 1846,VfL Wolfsburg,0,2,loss,0,0.47075067908334645,0.31496492785939967,0.7474874371859297,0.625,0.19555035128805626,16,122,0.5083333333333333,0.2786507936507937,Tim Kleindienst,11,535
122840,VfL Wolfsburg,1. FC Heidenheim 1846,2,0,win,3,0.5695369125812042,0.280607594595106,1.0,0.5827020202020202,0.4148380355276907,16,116,0.48333333333333334,0.15361678004535148,Tiago Tomás,23,510
122841,TSG 1899 Hoffenheim,SC Freiburg,1,1,draw,1,0.5774886502807592,0.39686369991738163,0.9153005464480874,0.692896174863388,0.3048941798941799,15,117,0.5571428571428572,0.21346153846153848,Angelo Stiller,22,491
122841,SC Freiburg,TSG 1899 Hoffenheim,1,1,draw,1,0.6023931887908184,0.2978898519134781,1.0,0.6261553588987216,0.48552754435107376,15,102,0.4857142857142857,0.2260989010989011,Ritsu Doan,23,469
122842,VfL Bochum,VfB Stuttgart,0,5,loss,0,0.48479420694992026,0.2798424531941024,0.9892086330935251,0.560476618705036,0.10964912280701752,16,95,0.3958333333333333,0.2828571428571429,Takuma Asano,4,405
122842,VfB Stuttgart,VfL Bochum,5,0,win,3,0.5424750501149669,0.33493519650956977,1.0,0.6256127450980392,0.20935225885225883,16,125,0.5208333333333334,0.2750207860922147,Waldemar Anton,24,603
122843,Borussia Mönchengladbach,FC Augsburg,4,4,draw,1,0.5299413724376645,0.31371084163611895,1.0,0.671551724137931,0.1345029239766082,16,114,0.475,0.20061224489795923,Grant-Leon Ranos,12,408
122843,FC Augsburg,Borussia Mönchengladbach,4,4,draw,1,0.6927708980562537,0.36718046001138055,1.0,0.6466079582517938,0.7572951739618407,14,108,0.5934065934065934,0.24038461538461536,Rubén Vargas,33,534
122844,Borussia Dortmund,1. FC Köln,1,0,win,3,0.4607628972582852,0.2927986153445972,1.0,0.4964660743134087,0.05378689937513467,16,130,0.5416666666666666,0.2089141810570382,Donyell Malen,11,746
122844,1. FC Köln,Borussia Dortmund,0,1,loss,0,0.6244456095996023,0.3293204799566839,1.0,0.7292096219931272,0.43925233644859807,15,107,0.5095238095238095,0.2137820512820513,Leart Paçarada,20,403
122845,1. FC Union Berlin,1. FSV Mainz 05,4,1,win,3,0.5112321648641075,0.2747209260134024,0.9688581314878892,0.6046712802768166,0.19667832167832167,16,104,0.43333333333333335,0.18563492063492068,Alex Král,11,419
122845,1. FSV Mainz 05,1. FC Union Berlin,1,4,loss,0,0.5051594763509661,0.2484112980559885,1.0,0.5979477611940298,0.17427884615384615,16,104,0.43333333333333335,0.2690476190476191,Ludovic Ajorque,8,478
122846,Eintracht Frankfurt,SV Darmstadt 98,1,0,win,3,0.4804595000813053,0.28498802589270833,1.0,0.562137330754352,0.07471264367816091,16,116,0.48333333333333334,0.24954648526077097,Jesper Lindstrøm,8,617
122846,SV Darmstadt 98,Eintracht Frankfurt,0,1,loss,0,0.5768668569592438,0.301113327056878,1.0,0.6076612903225806,0.3986928104575163,16,102,0.425,0.24824263038548758,Mathias Honsak,13,411
122847,VfB Stuttgart,RasenBallsport Leipzig,1,5,loss,0,0.5416621902039527,0.2985034222054326,0.9894459102902374,0.6141160949868074,0.2645833333333333,16,120,0.5,0.2155045351473923,Borna Sosa,11,479
122847,RasenBallsport Leipzig,VfB Stuttgart,5,1,win,3,0.5643882050143665,0.3264627521533739,1.0,0.6072154471544715,0.32387462074962076,16,120,0.5,0.2740476190476191,Kevin Kampl,21,587
122848,SC Freiburg,SV Werder Bremen,1,0,win,3,0.5996029710520586,0.3798304564744321,1.0,0.680386983289358,0.33819444444444446,15,120,0.5714285714285714,0.14203296703296703,Maximilian Philipp,20,525
122848,SV Werder Bremen,SC Freiburg,0,1,loss,0,0.5869907121221243,0.31366848403485303,1.0,0.6888273314866112,0.3454670329670329,15,104,0.49523809523809526,0.23736263736263735,Amos Pieper,22,518
122849,1. FC Köln,VfL Wolfsburg,1,2,loss,0,0.5614686653859566,0.2921045466012979,1.0,0.619,0.33477011494252873,16,116,0.48333333333333334,0.21532879818594108,Benno Schmitz,19,522
122849,VfL Wolfsburg,1. FC Köln,2,1,win,3,0.5539196114703825,0.2864673866949749,1.0,0.6073298429319371,0.3218812162546178,16,115,0.4791666666666667,0.18577097505668938,Jonas Wind,18,524
122850,VfL Bochum,Borussia Dortmund,1,1,draw,1,0.6477415706016586,0.301054899441415,1.0,0.7049278846153846,0.584983498349835,16,101,0.42083333333333334,0.15890022675736964,Ivan Ordets,25,341
